lat,lon,diam_km
9.35556,56.84819999999999,24.6297
14.5623,54.71780000000001,22.7642
12.3096,52.8124,32.7282
9.48538,53.504700000000014,34.0619
11.1362,51.42959999999999,22.1577
12.4668,50.12700000000001,21.8175
12.1472,50.439099999999996,27.583
12.5869,49.28050000000002,25.8647
13.6014,42.545199999999994,29.6026
12.7435,42.697400000000016,32.3973
13.6506,40.6027,30.3649
9.16438,44.9598,34.5915
11.13,40.82759999999999,30.6481
13.5546,28.649100000000004,22.6812
11.6621,21.739499999999992,24.7987
11.1497,27.821200000000005,52.1083
15.0199,17.150200000000012,20.9124
9.81147,11.036400000000015,43.1101
7.94345,2.1957999999999913,21.1988
7.71803,1.3738700000000108,22.7354
6.39784,8.02485999999999,24.8787
5.31604,17.586399999999998,22.8081
6.14937,21.442499999999995,25.4666
1.96423,19.171400000000006,29.1041
1.37302,20.06559999999999,29.9819
0.867189,19.365499999999997,40.1142
2.15186,30.035200000000003,22.9078
6.21147,35.1601,23.0055
7.11107,39.99600000000001,34.7495
2.42431,32.4701,29.9185
0.580214,35.56900000000002,27.3675
7.33605,43.32400000000001,22.8301
2.40118,43.56569999999999,22.2985
6.03158,39.52119999999999,25.1305
2.42071,57.733299999999986,37.7144
1.86339,60.4555,31.8283
39.8913,29.7937,100.74
20.852,63.33850000000001,22.5477
15.1682,28.792,24.6869
9.63769,7.733789999999999,21.0641
1.26566,58.60900000000001,121.492
15.7465,51.14869999999999,21.2801
21.9943,61.83609999999999,35.156
3.94512,46.816900000000004,21.0852
4.17955,3.593760000000003,25.0643
5.87469,36.884600000000006,23.6421
8.67721,56.7004,27.7291
10.0101,50.177599999999984,22.0528
11.5585,52.83709999999999,22.3069
19.0074,38.28559999999999,48.9493
18.7562,70.66980000000001,26.2205
19.645,48.6395,41.1194
19.7123,49.02709999999999,20.0114
31.4886,18.224799999999988,47.6248
28.992,22.763000000000005,51.3667
15.7098,45.405699999999996,20.3816
28.6345,0.7737239999999872,21.0091
12.4131,65.0983,23.0461
38.2904,8.526929999999993,22.8512
29.1773,-0.0029999999999290594,32.1807
24.063,31.3545,22.9704
21.5243,31.402800000000013,29.7397
16.281,48.43630000000002,20.0566
11.4264,44.96260000000001,21.3702
14.7399,11.600599999999986,48.2129
10.6474,5.709990000000005,22.7907
5.09605,1.0978700000000003,27.5394
7.57431,29.380200000000002,21.0095
-0.0156829,4.902680000000004,45.8891
14.547,49.2071,21.5797
-2.45515,0.7302799999999934,50.954
-7.66035,2.0496899999999982,22.2228
-5.30819,0.26600799999999936,46.1875
-4.70872,3.788409999999999,26.9759
-5.34734,1.8360600000000034,48.9126
-1.94733,17.405,51.7467
-5.43339,18.97909999999999,20.355
-1.20915,20.57159999999999,41.5131
-4.69441,28.55590000000001,20.4107
-5.20079,28.139800000000008,86.0561
-4.28034,22.666799999999995,31.6026
-2.29878,25.828900000000004,75.2652
-0.0174847,34.12880000000001,26.1851
-3.09254,34.1746,27.7634
-4.55006,33.001300000000015,29.5685
-1.90929,36.64750000000001,36.5379
-7.96758,33.5189,41.8387
-7.58654,34.8965,45.8353
-1.29274,34.78120000000001,26.1657
-1.72271,35.75319999999999,27.6243
-6.06315,40.059200000000004,31.3146
-2.6789,38.57159999999999,27.1141
-0.518134,37.32470000000001,25.2381
-1.63548,39.7689,25.8384
-5.87226,56.353999999999985,44.0983
-5.88804,57.78030000000001,29.0735
-4.7144,57.932000000000016,32.8501
-0.97514,60.012400000000014,21.9817
-2.18635,62.2088,30.369
-4.7572,62.43020000000001,33.0821
-13.7754,60.32409999999999,42.0085
-12.8097,60.686800000000005,32.9317
-15.0417,62.776099999999985,24.2045
-8.92032,61.12209999999999,132.028
-9.32652,50.1541,20.6073
-8.25147,49.4169,23.9936
-8.21349,42.43639999999999,28.6715
-10.0293,45.040700000000015,61.6018
-10.2491,46.4905,32.201
-8.64984,41.202200000000005,70.7341
-12.7281,44.97880000000001,30.341
-11.9557,44.07050000000001,38.3006
-12.5713,47.162300000000016,21.5867
-14.1686,51.226200000000006,20.8295
-13.5701,50.7226,22.1127
-14.8066,51.7338,22.0494
-14.7139,49.838599999999985,26.2018
